# Process                ,Final state              ,Cross section            ,Events expected          ,Path                                                                            ,Configuration            ,Filename tag             
e1e1h_aa                 ,e1e1h_aa                 ,0.0161                   ,81.305                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_aa.e0.p0.whizard195        ,CEPC_V4                  ,e1e1h_aa.e0.p0           
e1e1h_az                 ,e1e1h_az                 ,0.0108                   ,54.54                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_az.e0.p0.whizard195        ,CEPC_V4                  ,e1e1h_az.e0.p0           
e1e1h_bb                 ,e1e1h_bb                 ,4.06                     ,20503.0                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_bb.e0.p0.whizard195        ,CEPC_V4                  ,e1e1h_bb.e0.p0           
e1e1h_cc                 ,e1e1h_cc                 ,0.205                    ,1035.25                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_cc.e0.p0.whizard195        ,CEPC_V4                  ,e1e1h_cc.e0.p0           
e1e1h_e2e2               ,e1e1h_e2e2               ,0.00154                  ,7.777                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_e2e2.e0.p0.whizard195      ,CEPC_V4                  ,e1e1h_e2e2.e0.p0         
e1e1h_e3e3               ,e1e1h_e3e3               ,0.445                    ,2247.25                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_e3e3.e0.p0.whizard195      ,CEPC_V4                  ,e1e1h_e3e3.e0.p0         
e1e1h_gg                 ,e1e1h_gg                 ,0.603                    ,3045.15                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_gg.e0.p0.whizard195        ,CEPC_V4                  ,e1e1h_gg.e0.p0           
e1e1h_ss                 ,e1e1h_ss                 ,0.0                      ,0.0                      ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_ss.e0.p0.whizard195        ,CEPC_V4                  ,e1e1h_ss.e0.p0           
e1e1h_ww                 ,e1e1h_ww                 ,1.51                     ,7625.5                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_ww.e0.p0.whizard195        ,CEPC_V4                  ,e1e1h_ww.e0.p0           
#e1e1h_X                  ,e1e1h_X                  ,7.04                     ,35552.0                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_X.e0.p0.whizard195         ,CEPC_V4                  ,e1e1h_X.e0.p0            
e1e1h_zz                 ,e1e1h_zz                 ,0.186                    ,939.3                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe1e1h_zz.e0.p0.whizard195        ,CEPC_V4                  ,e1e1h_zz.e0.p0           
e2e2h_aa                 ,e2e2h_aa                 ,0.0154                   ,77.77                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_aa.e0.p0.whizard195        ,CEPC_V4                  ,e2e2h_aa.e0.p0           
e2e2h_az                 ,e2e2h_az                 ,0.0104                   ,52.52                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_az.e0.p0.whizard195        ,CEPC_V4                  ,e2e2h_az.e0.p0           
e2e2h_bb                 ,e2e2h_bb                 ,3.91                     ,19745.5                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_bb.e0.p0.whizard195        ,CEPC_V4                  ,e2e2h_bb.e0.p0           
e2e2h_cc                 ,e2e2h_cc                 ,0.197                    ,994.85                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_cc.e0.p0.whizard195        ,CEPC_V4                  ,e2e2h_cc.e0.p0           
e2e2h_e2e2               ,e2e2h_e2e2               ,0.00148                  ,7.474                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_e2e2.e0.p0.whizard195      ,CEPC_V4                  ,e2e2h_e2e2.e0.p0         
e2e2h_e3e3               ,e2e2h_e3e3               ,0.428                    ,2161.4                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_e3e3.e0.p0.whizard195      ,CEPC_V4                  ,e2e2h_e3e3.e0.p0         
e2e2h_gg                 ,e2e2h_gg                 ,0.58                     ,2929.0                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_gg.e0.p0.whizard195        ,CEPC_V4                  ,e2e2h_gg.e0.p0           
e2e2h_ss                 ,e2e2h_ss                 ,0.0                      ,0.0                      ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_ss.e0.p0.whizard195        ,CEPC_V4                  ,e2e2h_ss.e0.p0           
e2e2h_ww                 ,e2e2h_ww                 ,1.46                     ,7373.0                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_ww.e0.p0.whizard195        ,CEPC_V4                  ,e2e2h_ww.e0.p0           
#e2e2h_X                  ,e2e2h_X                  ,6.77                     ,34188.5                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_X.e0.p0.whizard195         ,CEPC_V4                  ,e2e2h_X.e0.p0            
e2e2h_zz                 ,e2e2h_zz                 ,0.179                    ,903.95                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe2e2h_zz.e0.p0.whizard195        ,CEPC_V4                  ,e2e2h_zz.e0.p0           
e3e3h_aa                 ,e3e3h_aa                 ,0.0154                   ,77.77                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_aa.e0.p0.whizard195        ,CEPC_V4                  ,e3e3h_aa.e0.p0           
e3e3h_az                 ,e3e3h_az                 ,0.0103                   ,52.015                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_az.e0.p0.whizard195        ,CEPC_V4                  ,e3e3h_az.e0.p0           
e3e3h_bb                 ,e3e3h_bb                 ,3.89                     ,19644.5                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_bb.e0.p0.whizard195        ,CEPC_V4                  ,e3e3h_bb.e0.p0           
e3e3h_cc                 ,e3e3h_cc                 ,0.196                    ,989.8                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_cc.e0.p0.whizard195        ,CEPC_V4                  ,e3e3h_cc.e0.p0           
